generation,stra.1,stra.15,stra.71,stra.138,stra.195,stra.197,stra.229,stra.233,stra.237,stra.257
488600,0,0,0,1.12E-09,1.59E-269,0,0,2.31E-193,9.51E-05,0.989753
488700,0,0,0,7.10E-47,4.98E-307,0,0,3.76E-213,6.75E-05,0.98807
488800,0,0,0,4.60E-84,0,0,0,6.02E-233,4.69E-05,0.989362
488900,0,0,0,2.89E-121,0,0,0,1.02E-252,3.33E-05,0.991363
489000,0,0,0,1.77E-158,0,0,0,1.82E-272,2.46E-05,0.99198
489100,0,0,0,1.10E-195,0,0,0,3.31E-292,1.85E-05,0.990754
489200,0,0,0,6.83E-233,0,0,0,6.16653e-312,1.41E-05,0.991178
489300,0,0,0,4.26E-270,0,0,0,4.94066e-324,1.08E-05,0.991015
489400,0,0,0,2.65E-307,0,0,0,4.94066e-324,8.20E-06,0.989397
489500,0,0,0,0,0,0,0,4.94066e-324,6.16E-06,0.990701
489600,0,0,0,0,0,0,0,4.94066e-324,4.75E-06,0.990709
489700,0,0,0,0,0,0,0,4.94066e-324,3.66E-06,0.989759
