generation,stra.1,stra.2,stra.3,stra.4,stra.5,stra.6,stra.7,stra.8,stra.9,stra.10,stra.11,stra.12,stra.13,stra.14,stra.15,stra.16,stra.17
135,0,0,6.09E-231,1.97E-208,0,0,1.61E-101,0,0,4.99E-100,4.76E-92,1.08E-31,1.08E-70,9.88E-04,5.81E-12,0.001994135,0.997017711
136,0,0,3.42E-233,2.46E-210,0,0,2.15E-102,0,0,6.72E-101,6.45E-93,4.18E-32,2.77E-71,9.85E-04,5.81E-12,0.001993167,0.997022174
137,0,0,1.92E-235,3.09E-212,0,0,2.88E-103,0,0,9.05E-102,8.74E-94,1.61E-32,7.11E-72,9.81E-04,5.80E-12,0.001992209,0.997026613
138,0,0,8.01E-238,3.16E-214,0,1.35E-04,3.79E-104,0,0,1.20E-102,1.17E-94,6.19E-33,1.81E-72,9.74E-04,5.78E-12,0.001983732,0.996907577
139,0,0,4.25E-240,3.96E-216,0,1.85E-05,5.06E-105,0,0,1.62E-103,1.57E-95,2.38E-33,4.62E-73,9.69E-04,9.98E-04,0.001978379,0.996035912
140,0,0,2.33E-242,5.06E-218,0,2.55E-06,6.77E-106,0,0,2.19E-104,2.12E-96,9.19E-34,1.19E-73,9.66E-04,9.98E-04,0.001977403,0.996056272
141,0,0,1.28E-244,6.49E-220,0,3.52E-07,9.06E-107,0,0,2.96E-105,2.87E-97,3.55E-34,3.04E-74,9.63E-04,9.97E-04,0.001976492,0.996062744
142,0,0,7.06E-247,8.34E-222,0,4.85E-08,1.21E-107,0,0,4.01E-106,3.88E-98,1.37E-34,7.79E-75,9.60E-04,9.97E-04,0.001975597,0.996067282
143,0,0,3.89E-249,1.07E-223,0,6.69E-09,1.62E-108,0,0,5.43E-107,5.24E-99,5.29E-35,2.00E-75,9.57E-04,9.97E-04,0.001974711,0.996071534
144,0,0,2.04E-251,1.35E-225,0,9.25E-10,2.15E-109,0,0,7.31E-108,7.02E-100,2.03E-35,5.10E-76,0.001947166,9.93E-04,0.001967176,0.995092872
